City Name,Population,Area (sq. km),Smart Infrastructure Score,Energy Consumption,Public Transport Usage,Air Quality Index,Education Index,Healthcare Index,Employment Rate,Smart Grid Adoption,Waste Management Score,Internet Speed (Mbps),Safety Index,Cost of Living Index
City531,9610036,716.27,66.74,484.41,12.39,15.78,2.08,31.4,98.48,82.59,44.17,307.73,95.28,55.92
City532,5448049,804.24,13.58,417.1,43.83,32.34,92.05,97.14,64.77,30.37,77.23,793.0,50.56,51.91
City533,1332495,493.9,17.3,981.43,75.28,90.15,78.13,95.96,46.16,35.85,90.57,57.48,86.64,110.34
City534,7432468,432.13,59.11,412.28,27.05,29.16,54.24,38.37,34.18,62.39,91.91,83.0,46.86,45.14
City535,9128828,560.8,19.15,458.25,42.22,49.0,37.75,70.37,64.32,4.87,28.35,734.45,3.36,53.39
City536,3619691,12.78,22.97,791.5,77.01,21.54,97.08,48.89,35.75,60.95,76.52,76.26,33.34,93.47
City537,7331601,63.33,45.43,797.91,71.18,11.0,28.45,6.06,52.37,5.39,60.13,958.92,13.43,113.75
City538,6937234,951.5,71.42,211.15,48.61,38.07,89.41,61.04,86.13,84.64,40.7,549.45,12.49,55.41
City539,4616630,142.46,92.52,805.59,7.78,47.23,21.5,12.57,6.49,73.08,56.47,645.3,81.37,30.78
City540,442155,190.51,67.99,956.63,37.0,97.94,14.23,29.77,85.76,0.68,26.85,56.61,17.1,84.05
City541,1526080,661.21,13.85,678.19,47.2,41.03,41.2,26.6,86.43,72.78,2.51,548.01,53.7,47.77
City542,3554544,790.13,62.44,279.62,64.98,21.85,96.8,72.7,53.77,82.32,35.88,847.58,64.35,78.34
City543,1775743,735.4,49.85,828.92,48.09,26.43,48.67,96.51,24.07,67.85,43.55,152.05,34.04,117.17
City544,5287702,910.85,68.18,315.81,5.66,93.46,26.37,86.67,95.2,14.78,83.72,906.2,97.11,93.91
City545,7893656,516.37,16.54,313.88,57.26,70.29,95.55,5.67,31.12,45.0,42.11,918.09,7.78,89.92
City546,412425,472.07,10.55,386.97,29.27,47.56,17.57,20.42,54.6,45.35,30.59,781.4,26.28,45.06
City547,526763,29.85,95.7,278.27,32.86,36.35,0.29,3.08,15.17,91.92,82.02,649.86,49.56,106.65
City548,6323743,812.01,79.39,257.12,44.69,71.59,27.35,99.23,66.69,9.11,24.81,718.71,51.79,110.83
City549,5307879,792.02,80.46,542.14,57.78,37.33,91.24,40.67,66.22,68.41,41.51,267.88,4.53,98.73
City550,4844585,274.18,22.6,346.07,29.8,63.82,17.09,7.77,66.64,32.98,26.29,185.79,4.12,48.53
City551,5716502,443.8,51.11,440.71,33.84,58.26,60.14,14.67,49.3,36.03,23.13,66.63,76.98,71.34
City552,505377,448.22,13.41,101.59,15.2,45.35,30.7,3.39,4.59,34.79,68.59,922.26,17.24,60.47
City553,2560524,853.74,30.31,588.96,43.8,84.61,72.14,84.21,22.2,61.36,66.97,403.47,62.21,103.27
City554,8257069,153.08,46.12,712.7,45.9,60.49,68.06,57.26,43.0,58.01,85.49,662.83,26.11,55.06
City555,4927736,707.27,88.08,979.55,7.92,77.76,61.9,84.79,69.39,90.65,16.49,336.23,22.53,42.08
City556,6189765,320.48,49.4,147.67,53.09,99.31,26.43,14.62,78.34,87.55,1.3,436.21,40.59,86.02
City557,6150153,239.86,85.15,934.67,32.3,47.49,12.28,52.38,8.5,58.03,22.43,8.86,42.8,82.09
City558,5766006,769.69,15.71,248.48,66.2,11.92,20.86,1.25,92.68,17.86,57.13,411.82,82.42,100.61
City559,7802449,704.15,11.1,257.3,79.69,59.54,56.82,84.72,2.33,77.57,22.09,729.58,45.96,69.88
City560,6850476,389.56,36.67,453.38,55.42,77.88,19.96,43.46,16.72,18.63,30.68,711.39,23.02,82.51
City561,587946,669.32,52.76,328.95,54.28,29.33,69.09,64.06,31.62,11.87,5.48,138.94,52.94,56.78
City562,5579355,442.67,37.84,438.51,7.29,79.62,50.88,48.99,51.8,32.28,21.94,481.44,31.12,91.43
City563,9168406,798.42,55.7,774.78,10.88,35.93,91.27,2.62,17.47,96.01,58.06,749.78,43.75,112.33
City564,5477038,294.38,82.52,313.04,12.79,78.27,88.13,41.98,9.77,79.95,45.48,606.45,10.24,106.87
City565,5154957,216.76,60.35,754.75,37.28,65.73,2.36,53.65,65.02,19.33,89.84,511.3,45.61,93.16
City566,2777037,441.19,97.61,826.22,69.21,51.17,22.09,2.82,49.98,67.87,54.69,498.68,33.53,50.95
City567,5691542,567.47,73.9,766.53,70.72,12.8,17.29,44.65,33.27,70.06,17.67,500.5,32.64,96.16
City568,3536197,38.69,16.02,255.53,60.81,85.12,28.96,12.2,98.25,50.28,36.43,916.75,90.24,110.5
City569,1471511,950.21,99.88,243.67,75.15,46.44,34.93,53.56,56.16,91.1,45.37,615.33,14.22,86.91
City570,9435105,729.63,70.53,113.76,50.12,97.09,15.02,25.42,82.65,62.7,5.85,183.2,48.57,118.76
City571,2876436,491.65,14.86,862.05,21.04,97.64,57.17,20.89,93.57,21.41,56.42,728.04,52.29,112.38
City572,5106008,332.84,65.17,632.62,34.28,66.87,61.78,28.26,52.51,71.67,79.93,998.79,5.64,50.98
City573,8225115,438.76,96.19,423.7,30.0,42.22,3.65,23.59,16.82,40.87,78.95,899.8,90.17,75.78
City574,2595202,924.15,10.13,836.69,18.42,63.96,94.84,10.76,18.55,42.93,59.7,60.94,73.66,100.11
City575,1715326,657.9,95.19,588.11,10.57,30.91,22.2,71.21,86.25,99.29,50.23,64.14,62.2,54.13
City576,2009039,888.43,61.73,455.68,33.12,54.38,90.05,34.25,57.13,52.03,99.93,469.98,41.66,87.79
City577,4960717,926.86,50.14,933.07,70.5,48.2,72.73,23.42,10.38,84.08,31.33,301.02,29.38,81.12
City578,5916305,62.77,65.95,632.99,20.82,42.23,4.26,46.49,0.96,29.02,67.77,475.97,1.34,100.73
City579,9898550,819.81,23.32,848.24,42.22,94.56,58.72,41.2,60.12,44.13,81.92,375.9,83.76,93.39
City580,5846210,971.63,79.99,263.57,18.67,44.25,85.87,76.7,84.18,83.95,83.82,126.56,39.31,60.29
City581,8177295,236.69,92.77,727.71,31.25,55.07,10.78,21.89,30.94,31.8,0.55,392.57,25.32,36.67
City582,3085334,602.24,99.04,552.11,7.17,27.69,46.43,3.02,9.54,58.78,39.65,407.56,35.85,49.61
City583,9119870,873.21,37.0,400.97,41.73,20.16,90.29,99.03,50.48,68.85,70.85,856.65,24.19,69.65
City584,2700901,648.85,71.7,137.22,66.22,88.68,83.36,11.25,7.38,62.05,70.15,938.75,60.55,38.82
City585,4227906,617.99,10.88,848.18,7.73,57.98,67.8,88.27,66.69,2.32,6.48,145.51,39.89,63.16
City586,7579713,525.28,57.16,808.46,33.9,49.9,88.36,88.73,62.45,11.48,69.63,236.34,79.8,114.64
City587,2785108,288.22,16.58,311.35,8.62,63.98,86.33,71.6,14.87,67.48,51.18,97.29,3.07,108.27
City588,1081093,912.14,0.17,145.92,23.73,27.69,9.59,11.27,68.14,27.1,20.85,421.25,8.42,54.37
City589,5425020,803.27,75.73,101.88,13.72,73.31,30.41,1.61,59.39,35.93,88.97,100.46,14.71,75.13
City590,5185876,319.49,30.87,950.0,10.69,99.82,90.39,33.76,62.66,31.39,75.45,765.23,17.88,103.49
City591,6222253,740.67,18.76,892.7,42.59,44.65,65.45,74.13,49.74,24.75,36.19,204.3,44.78,88.7
City592,3453056,517.99,20.3,608.65,12.04,17.9,2.16,27.95,94.28,9.14,45.03,71.01,98.99,50.61
City593,7143123,320.9,97.19,926.94,66.39,66.22,89.91,6.0,14.39,39.82,18.95,122.34,52.45,55.26
City594,226956,918.41,5.12,739.32,8.39,74.03,26.83,39.84,96.43,33.01,85.15,342.03,86.21,80.95
City595,2014759,410.71,20.57,378.94,77.55,25.09,95.82,49.75,45.12,15.52,2.57,580.65,64.72,101.39
City596,7087698,601.41,61.79,887.74,67.53,19.57,83.48,76.22,47.77,0.34,93.12,719.85,30.88,32.11
City597,7262424,238.19,16.34,343.71,33.17,13.51,37.84,49.96,65.13,80.01,2.2,772.97,47.35,36.34
City598,521846,943.26,11.52,759.4,48.1,63.73,74.75,32.13,59.82,84.01,33.3,821.81,1.37,103.1
City599,8935260,396.28,70.2,800.8,24.95,61.64,23.57,10.76,89.13,19.6,28.68,704.53,86.22,85.03
City600,8547367,378.89,13.95,801.57,17.19,94.55,54.19,58.0,34.01,49.51,54.87,199.49,65.14,65.87
City601,578578,895.15,57.69,911.6,70.05,18.05,61.83,10.7,41.75,52.25,38.27,879.03,31.36,41.69
City602,7882671,152.74,18.7,631.59,17.45,23.82,69.19,26.56,54.96,6.17,99.94,185.73,64.97,69.54
City603,929812,721.83,50.65,906.32,8.77,98.36,78.8,80.16,52.98,45.81,37.16,106.57,49.37,34.36
City604,9552425,454.73,12.74,469.09,31.53,47.01,21.44,70.89,54.66,37.29,17.26,210.72,37.07,107.59
City605,4055893,28.17,14.86,178.56,61.24,41.42,17.6,5.54,32.87,39.73,87.37,376.64,92.06,103.49
City606,9044521,664.0,65.57,813.0,10.8,11.43,31.83,39.18,69.93,46.47,55.57,550.5,80.22,41.88
City607,1366609,746.15,49.15,685.82,19.76,48.19,96.11,93.95,27.11,57.3,86.75,204.8,23.81,101.67
City608,66675,546.08,2.3,939.43,64.45,77.99,55.13,62.35,86.0,50.27,53.01,631.27,33.89,60.28
City609,3299493,452.26,59.11,487.59,14.85,55.48,96.67,93.52,28.72,53.25,41.12,945.12,21.41,104.99
City610,4739039,578.54,75.67,582.0,59.21,77.01,62.24,60.89,49.12,50.51,35.62,382.08,79.16,41.81
City611,9361829,773.56,60.13,309.91,52.39,93.56,50.03,23.07,82.92,36.45,86.31,188.75,38.31,95.81
City612,4330750,986.87,90.42,765.79,30.31,98.7,60.98,97.84,75.75,50.63,39.49,48.3,77.69,77.68
City613,865783,430.82,67.5,886.75,47.12,47.9,77.42,19.71,79.51,63.25,5.82,145.57,91.37,77.44
City614,9873110,432.72,27.91,980.05,40.57,73.38,1.81,95.69,1.63,53.89,16.86,12.28,44.37,92.78
City615,6048824,109.88,76.08,372.83,78.35,87.71,95.64,53.55,93.61,31.14,54.79,920.9,24.48,95.98
City616,9964720,788.95,96.15,762.16,29.98,10.2,46.16,73.99,25.23,47.49,26.02,647.47,54.63,72.73
City617,8798294,437.16,90.43,752.41,62.09,54.39,81.76,16.84,47.89,12.52,20.73,736.72,88.09,92.05
City618,3649492,381.29,4.21,841.07,25.96,20.05,26.16,17.12,29.06,81.6,3.09,426.7,16.35,110.5
City619,592524,936.86,90.05,432.05,44.0,81.65,16.49,82.33,6.71,91.68,7.22,409.0,34.17,75.38
City620,4949517,414.51,76.41,775.58,12.51,78.45,5.13,48.7,22.97,7.97,69.78,571.49,25.5,99.68
City621,9386340,416.3,78.22,199.39,33.11,29.63,45.05,58.11,27.68,48.11,3.1,257.89,42.11,58.02
City622,6456963,356.27,94.87,814.33,45.27,76.48,40.62,48.76,94.73,68.36,2.62,770.88,38.35,44.18
City623,3289826,511.93,66.12,177.05,27.31,10.83,1.52,55.07,8.54,70.24,11.64,785.38,17.74,86.27
City624,4085382,605.02,91.25,265.88,5.28,45.88,60.58,75.18,42.25,7.4,80.43,363.18,64.58,103.74
City625,5244570,613.88,30.03,824.03,49.26,30.1,77.04,10.97,58.09,2.88,83.1,121.12,17.87,77.37
City626,9530538,208.55,76.16,348.27,79.66,14.67,89.15,78.25,96.39,12.74,67.03,18.45,43.25,86.09
City627,5436443,908.43,33.65,429.71,48.16,60.68,29.67,93.79,27.38,24.97,45.44,121.51,21.5,69.85
City628,2797534,161.05,40.22,920.94,10.8,14.6,16.96,35.03,39.45,33.71,28.34,145.25,7.43,118.88
City629,6011787,304.77,29.44,843.41,75.31,19.31,65.94,97.47,18.07,18.03,44.65,426.25,14.39,32.31
City630,1372204,567.15,60.39,557.78,27.0,37.03,52.53,31.06,70.52,7.51,3.05,827.02,3.84,46.26
City631,3589403,558.49,84.3,806.97,26.32,54.39,93.28,31.6,40.55,64.76,83.06,26.39,72.48,40.94
City632,7130877,666.02,28.32,584.34,69.28,39.7,23.42,56.32,22.4,84.04,39.59,401.76,89.7,64.75
City633,6614095,256.22,91.21,783.79,56.99,32.98,93.65,83.19,15.76,2.44,54.8,211.19,9.67,116.02
City634,4000906,640.42,56.05,304.71,14.88,80.14,54.66,61.28,64.95,40.92,32.66,181.32,9.08,100.28
City635,8335140,616.88,0.4,336.19,68.47,78.69,21.89,93.17,90.64,77.0,56.17,822.71,7.48,56.69
City636,5325731,314.48,53.04,666.98,65.2,84.14,84.2,70.38,24.1,6.55,60.61,414.15,24.11,73.06
City637,7302793,580.02,25.5,504.87,37.03,40.28,42.85,74.26,51.58,64.85,71.33,414.82,14.99,73.85
City638,1956927,204.71,46.01,701.31,65.98,48.61,80.7,44.14,26.65,65.23,57.7,960.36,20.75,56.56
City639,6154217,284.39,31.72,616.52,60.47,64.29,97.81,34.16,71.34,12.93,52.41,544.76,14.5,58.25
City640,7584099,787.66,9.19,953.47,36.75,47.31,81.07,77.69,48.76,48.82,80.21,885.62,25.75,60.7
City641,85572,693.8,86.33,712.63,54.4,66.46,28.5,23.09,90.84,90.61,88.94,453.92,57.79,44.77
City642,6240328,374.69,95.71,723.41,51.51,76.95,81.98,44.79,83.56,45.73,30.57,813.15,24.27,119.78
City643,4914884,985.84,6.06,900.84,63.07,30.91,69.08,32.59,92.63,29.41,29.99,269.89,10.2,51.63
City644,6177682,635.97,25.56,816.39,22.15,19.66,83.5,94.4,41.83,68.84,66.44,30.32,72.12,43.69
City645,73955,761.86,3.52,487.61,17.49,54.51,38.06,55.09,81.85,42.27,89.88,574.61,50.87,107.53
City646,931368,18.73,76.0,822.68,6.63,46.54,32.87,76.06,32.99,25.97,85.45,265.95,69.83,42.01
City647,9230134,824.89,22.31,143.41,35.1,42.84,75.15,59.69,26.75,13.28,38.1,852.95,39.27,59.71
City648,8777537,876.93,74.67,948.7,67.45,81.37,86.94,88.69,83.21,11.09,82.03,317.42,34.86,81.8
City649,1730556,319.61,2.95,716.96,42.76,71.99,59.74,28.44,79.73,99.29,63.44,400.72,4.01,44.5
City650,8262487,31.05,53.17,706.41,21.25,28.79,78.8,8.76,17.91,70.44,56.7,424.83,44.94,106.31
City651,2322975,670.48,48.2,439.03,77.61,30.4,66.25,59.39,80.69,48.53,13.32,352.02,96.2,118.22
City652,3972000,739.19,0.78,151.45,6.74,79.44,9.29,27.12,19.93,25.26,99.47,91.41,74.87,109.5
City653,2167788,608.19,8.4,358.54,58.65,27.57,88.82,59.89,59.23,39.88,40.69,561.88,68.74,108.72
City654,7371158,836.16,51.4,617.04,54.42,62.26,58.78,58.83,43.03,69.89,54.83,672.0,10.24,110.14
City655,8423755,561.64,41.95,975.09,36.68,43.17,74.52,99.64,2.63,72.97,35.59,18.97,36.18,36.26
City656,5109786,423.65,51.85,974.44,12.36,18.43,80.96,66.77,0.97,66.57,4.35,100.21,92.09,98.0
City657,9051333,905.63,73.55,697.86,50.64,60.6,4.36,88.23,39.8,85.52,44.63,295.48,4.96,118.8
City658,2080693,840.44,19.15,607.54,42.37,81.81,57.92,98.4,32.39,82.68,43.14,95.43,82.09,89.85
City659,2133045,289.72,38.63,811.16,24.67,63.28,14.85,13.96,26.38,52.45,93.75,382.26,43.92,97.54
City660,362906,958.28,20.17,113.29,44.25,66.2,29.32,48.95,63.85,50.26,51.27,212.17,33.45,43.46
City661,9331956,207.41,52.3,696.88,77.08,14.49,20.91,29.64,26.9,36.25,57.53,622.42,39.49,94.97
City662,6311038,560.41,27.86,166.73,62.2,47.22,1.13,85.59,6.46,83.02,86.74,116.17,98.11,108.24
City663,1795266,850.82,81.46,907.66,46.68,94.79,61.07,34.76,96.52,38.37,38.94,419.33,95.8,119.03
City664,146077,742.6,35.91,802.26,63.01,98.3,14.1,56.44,26.98,26.42,84.49,931.85,10.23,38.85
City665,2974282,931.8,85.5,764.7,44.4,27.85,29.21,1.86,20.02,43.33,93.35,249.17,44.45,78.27
City666,9587816,687.31,41.01,404.13,57.84,21.94,30.22,96.9,61.39,0.79,33.55,889.21,82.3,31.79
City667,1013787,946.91,85.07,548.27,45.78,17.76,0.09,18.3,82.65,50.54,70.52,114.27,44.78,67.31
City668,3772051,142.52,31.91,205.94,71.42,34.73,1.55,82.19,71.91,5.3,5.07,263.09,34.25,116.72
City669,9147538,668.93,50.53,279.24,79.68,45.4,64.81,52.16,93.31,43.4,34.48,939.38,7.11,41.72
City670,2074793,475.42,95.6,300.63,24.14,89.39,9.83,2.15,47.36,43.97,29.64,684.5,83.47,114.89
City671,5896791,150.84,36.63,128.2,30.44,17.07,13.19,21.04,35.28,4.16,25.0,355.76,61.13,46.94
City672,7601121,361.78,73.45,974.95,33.72,87.72,30.53,25.86,87.11,49.83,35.42,921.0,49.07,94.3
City673,6122051,812.43,53.07,717.29,62.54,28.77,54.08,10.37,28.83,72.73,81.31,750.6,62.52,119.67
City674,7893975,908.73,9.45,328.04,13.63,85.04,11.73,96.81,72.53,78.35,28.88,856.95,71.95,58.04
City675,5580205,228.99,50.4,294.62,76.22,41.24,66.54,17.69,61.1,63.82,84.19,241.52,68.45,56.98
City676,1975274,233.42,69.45,652.92,23.55,29.56,87.58,85.1,20.06,38.03,55.1,810.17,53.44,72.91
City677,4307700,572.91,78.93,838.22,58.65,75.61,95.92,99.07,38.62,59.12,34.99,165.53,93.76,87.07
City678,6675105,893.62,24.75,731.78,20.78,45.6,36.57,62.46,46.85,15.01,21.53,625.67,8.18,118.3
City679,2731220,309.08,81.88,238.52,18.23,69.92,15.45,59.25,13.45,80.5,77.5,829.76,99.33,103.46
City680,469633,655.37,61.91,582.16,27.48,50.19,58.56,30.28,77.11,1.21,14.61,970.13,41.51,32.86
City681,37241,405.9,27.98,813.84,7.24,71.81,51.29,77.81,74.98,78.51,2.5,141.51,60.42,115.65
City682,449472,596.24,59.85,549.13,18.34,41.87,66.09,48.69,46.81,4.98,9.82,857.31,36.35,56.19
City683,5277873,862.32,60.43,363.75,16.45,65.65,9.02,38.52,38.03,0.79,59.9,191.33,98.05,119.06
City684,5799302,510.45,18.65,567.28,58.65,20.31,35.3,54.08,33.09,26.79,41.36,767.43,5.8,102.87
City685,1005398,325.88,58.64,408.6,72.81,18.83,70.08,21.83,88.34,36.78,64.42,193.96,82.66,32.8
City686,2375449,11.4,41.83,334.41,49.57,35.46,36.94,85.26,7.49,99.13,11.17,813.3,75.93,112.68
City687,3953975,452.6,15.28,418.56,48.41,81.31,69.09,79.16,73.92,57.74,79.83,155.76,93.21,32.88
City688,2298824,424.96,82.95,149.47,32.98,70.67,31.08,76.4,75.25,80.05,67.76,545.05,39.67,113.89
City689,141777,930.85,65.07,603.79,58.53,95.19,78.08,34.36,54.01,11.22,72.1,190.16,16.13,69.38
City690,4116133,777.93,94.09,102.82,46.62,82.67,47.91,42.23,65.82,13.28,80.07,610.29,7.75,52.74
City691,9783585,488.89,69.2,208.85,59.04,29.7,50.4,87.63,85.91,87.51,18.29,153.0,64.73,116.17
City692,1065614,788.61,98.69,221.19,15.44,42.55,22.46,78.74,22.5,37.44,52.53,757.76,68.45,115.75
City693,1426064,313.45,62.78,686.34,10.76,44.32,70.54,3.01,39.21,9.85,47.39,493.8,80.26,55.31
City694,3379350,603.4,16.57,212.39,18.37,64.01,51.36,19.08,97.21,92.22,75.0,710.67,62.68,107.71
City695,8087322,292.85,9.23,622.12,56.78,69.63,55.0,13.42,69.39,86.05,57.38,629.1,84.17,115.99
City696,840168,186.32,15.95,466.94,11.63,57.66,77.27,93.89,26.6,24.37,75.87,730.68,59.86,109.94
City697,3274865,369.91,61.52,379.47,11.91,75.27,94.6,14.96,92.29,95.88,47.48,166.15,49.29,119.8
City698,5987905,489.63,83.47,635.61,67.99,85.06,8.94,1.42,91.19,74.11,84.69,929.36,64.92,95.82
City699,8683930,238.97,91.47,410.12,56.51,51.6,96.78,24.74,52.87,67.25,72.46,602.06,33.73,46.48
City700,6749583,847.63,51.27,318.38,50.48,32.68,63.72,79.64,34.85,43.35,80.33,73.17,99.2,79.86
City701,6539794,751.09,96.39,724.14,14.17,70.97,11.18,96.03,46.14,95.55,16.74,302.88,61.97,38.77
City702,330532,684.56,69.24,904.97,66.47,40.43,65.16,6.31,10.18,53.98,42.08,306.97,69.51,57.33
City703,8138505,572.43,99.01,805.55,55.05,10.19,64.32,20.36,73.4,5.65,42.86,575.24,33.75,55.54
City704,8331622,710.38,17.47,975.05,19.52,74.17,95.67,93.31,15.61,54.41,2.74,741.89,48.37,63.09
City705,128172,435.75,4.77,150.36,54.97,69.75,63.5,56.18,60.32,55.65,85.12,374.25,0.38,66.95
City706,7384807,831.81,91.74,342.55,46.72,15.38,45.83,72.46,95.85,63.21,81.27,808.53,32.38,78.14
City707,3396579,126.17,34.09,172.78,12.57,94.55,64.76,6.83,75.02,80.2,35.19,823.15,69.56,45.91
City708,6552021,78.18,50.69,163.68,39.21,16.36,3.62,45.17,43.61,65.49,38.4,759.8,9.36,118.73
City709,7014628,911.46,16.76,987.46,62.07,24.04,48.62,7.97,3.36,61.57,87.7,840.39,69.51,115.69
City710,9974861,987.78,8.59,109.34,72.42,51.46,19.31,3.87,47.18,63.12,77.15,402.22,12.6,69.3
City711,5993363,168.7,96.93,759.99,63.75,34.76,10.27,81.16,72.22,92.28,31.12,631.96,51.22,84.45
City712,4935849,78.73,81.15,960.22,24.02,72.84,25.84,14.51,84.88,27.66,95.11,170.37,49.36,72.72
City713,1419435,978.48,78.5,524.33,9.81,89.73,66.13,40.93,35.22,26.28,0.43,280.19,36.24,74.99
City714,1153548,485.17,36.44,990.58,49.22,38.06,21.62,66.48,77.23,29.98,95.09,255.68,32.38,94.33
City715,5653395,849.19,69.81,722.3,65.8,94.08,47.71,8.94,8.39,40.68,20.91,185.75,64.74,66.07
City716,9246142,15.57,9.16,138.09,53.64,20.81,93.77,72.18,33.49,3.42,58.45,67.86,47.83,104.83
City717,229816,160.75,73.65,945.77,63.05,65.78,21.65,87.68,70.92,98.18,95.4,484.49,31.97,62.8
City718,4749484,376.96,41.61,449.51,30.97,86.1,6.24,43.62,65.46,92.01,17.75,927.91,28.86,116.0
City719,1846169,494.76,48.61,980.44,42.65,49.56,66.78,39.98,19.75,29.65,58.35,125.44,81.98,85.71
City720,1220578,710.97,30.97,985.88,26.94,89.54,51.95,69.84,17.02,52.59,11.96,875.03,57.12,37.1
City721,629327,673.42,16.23,493.72,62.41,94.56,68.41,67.7,43.58,70.45,19.88,796.45,60.8,86.26
City722,8984822,780.07,22.27,666.58,55.8,57.4,75.83,65.55,47.44,25.91,95.74,416.87,68.99,33.41
City723,4675701,731.41,83.75,154.21,18.13,34.11,17.61,63.02,48.2,90.05,73.38,121.74,6.15,78.93
City724,2023702,403.64,23.21,523.22,32.21,98.3,99.84,13.21,12.29,81.27,82.16,533.53,23.73,36.69
City725,4064993,680.12,99.25,159.95,70.73,20.57,84.77,76.38,11.92,10.77,13.11,338.52,86.08,99.3
City726,9127740,266.89,6.79,897.22,45.5,84.53,8.25,9.38,54.27,2.16,82.59,18.3,89.04,82.85
City727,9919698,450.58,40.56,762.31,72.04,71.46,28.13,43.2,21.23,98.29,33.99,528.75,69.09,106.53
City728,826902,910.67,51.64,460.99,50.97,19.97,57.21,69.34,38.23,50.18,45.99,611.44,34.38,100.6
City729,3993395,826.86,40.67,874.33,9.18,11.18,55.44,83.17,64.96,8.85,94.98,284.33,20.6,40.02
City730,7478368,673.24,64.99,388.36,61.04,40.56,73.19,61.39,22.78,16.36,9.46,118.39,25.33,37.44
City731,8040025,775.93,81.38,704.59,6.49,98.33,14.34,62.57,28.56,58.12,10.56,898.1,38.45,54.75
City732,8962926,567.25,7.41,836.87,28.14,79.78,85.87,87.68,78.69,96.25,3.06,996.13,4.8,65.66
City733,9881054,314.87,8.03,883.76,52.58,30.84,26.79,26.52,91.51,51.14,16.06,295.81,60.75,33.19
City734,3615573,544.15,28.43,856.3,23.07,53.1,21.08,13.6,53.92,72.04,99.69,609.23,83.53,49.15
City735,6219661,554.79,14.79,589.74,50.72,38.71,94.25,31.13,8.53,43.46,7.49,980.41,49.4,108.23
City736,8222157,180.19,76.77,843.53,11.43,11.08,40.36,85.61,89.51,1.56,72.48,360.0,99.09,57.24
City737,174054,36.36,35.34,210.62,68.41,11.65,46.8,2.59,51.52,51.63,47.54,530.51,13.06,58.05
City738,2938151,308.33,92.82,195.75,71.87,53.41,59.82,2.07,14.64,10.78,96.12,224.06,37.64,38.75
City739,8240775,450.47,75.54,434.36,14.38,38.81,21.79,8.42,64.89,14.59,71.29,135.25,72.9,45.32
City740,8723437,326.35,56.65,423.61,13.89,11.18,32.46,68.3,56.22,69.38,24.21,574.21,18.7,32.9
City741,2550971,553.2,55.32,248.76,56.93,90.25,73.12,61.64,34.33,12.63,14.2,229.16,96.94,46.42
City742,44784,221.01,35.26,118.37,24.43,98.56,11.84,90.62,27.71,97.35,16.76,866.7,38.8,102.26
City743,1645148,800.07,92.0,865.63,43.42,79.91,93.87,59.27,91.78,51.94,17.9,295.89,51.77,84.0
City744,1847742,357.99,18.07,212.27,57.2,34.48,68.84,4.47,58.27,69.42,21.71,483.85,11.33,51.17
City745,3650867,188.95,74.85,188.19,36.19,63.75,58.73,80.31,28.5,26.32,70.2,603.57,51.48,95.55
City746,6234880,288.88,49.03,168.52,53.4,66.68,62.81,72.57,14.09,3.32,61.43,493.2,85.29,68.2
City747,4331401,887.87,47.09,674.83,7.52,95.04,17.06,75.78,78.5,81.42,68.05,546.99,67.65,112.31
City748,1847482,783.55,31.96,644.38,31.7,28.55,48.68,25.8,36.77,78.07,23.48,557.62,10.25,62.74
City749,9178555,145.23,28.69,777.27,68.13,21.27,32.01,11.4,3.13,69.93,46.49,12.1,68.87,68.6
City750,1550401,415.42,48.4,783.33,30.11,35.79,39.13,38.87,14.62,39.6,86.98,720.67,1.59,63.77
City751,4738714,292.25,64.68,618.18,32.76,95.26,46.07,64.81,66.87,94.39,16.0,996.24,1.89,49.14
City752,2384872,132.42,20.74,914.49,73.23,72.69,7.66,74.0,87.05,3.15,46.72,375.03,38.2,77.4
City753,9654775,645.57,85.7,142.62,69.84,42.85,16.05,84.68,89.39,42.98,44.49,113.39,91.15,52.07
City754,9118258,52.0,98.02,772.18,54.0,30.1,34.72,76.64,94.38,84.54,59.56,992.76,3.23,92.41
City755,4910341,877.82,74.06,332.32,49.39,53.78,5.57,30.38,0.08,28.26,7.26,334.54,45.38,71.75
City756,7960015,428.38,88.24,541.35,61.32,40.5,24.16,9.07,77.12,30.41,85.57,267.75,27.92,63.34
City757,3035200,18.64,13.54,767.98,6.89,76.15,83.92,53.52,53.37,26.27,93.1,536.62,4.37,59.92
City758,3624571,204.43,38.52,445.17,7.21,20.63,56.09,53.55,22.24,9.31,92.85,257.79,88.59,110.83
City759,9861188,753.95,16.78,267.5,68.75,84.35,53.07,84.52,78.21,8.43,13.34,871.84,20.89,104.31
City760,3157038,238.16,92.5,276.99,51.99,19.28,53.25,55.15,57.65,37.01,5.4,352.48,92.68,97.02
City761,3788853,848.79,45.02,508.8,74.87,93.63,25.25,97.93,34.15,76.43,10.66,816.07,92.95,84.13
City762,4884368,778.93,88.79,374.9,39.47,50.09,11.26,0.05,62.3,8.02,39.26,410.22,40.21,55.39
City763,2462606,389.78,52.59,951.46,60.3,73.6,0.16,5.92,84.02,18.59,76.59,129.86,73.2,103.99
City764,8915199,939.08,8.98,205.87,53.65,27.23,61.1,18.73,27.88,86.84,0.7,119.49,61.8,72.75
City765,8925422,373.99,57.59,111.71,7.11,43.42,31.63,53.84,82.84,50.64,93.54,834.43,10.97,92.05
